Date,Open,High,Low,Close,Adj Close,Volume
02-05-2017,84.349998,84.650002,83.400002,83.699997,71.639473,1944305
03-05-2017,84,84.050003,82.050003,82.199997,70.355606,2287917
04-05-2017,82.199997,83.300003,81.75,83,71.040344,3787868
05-05-2017,82.75,84.150002,82.5,83.400002,71.382713,2399071
08-05-2017,83.199997,83.5,82.5,83.099998,71.125931,2569523
09-05-2017,83.300003,83.349998,82.699997,83.099998,71.125931,1743406
10-05-2017,83.300003,83.550003,81.400002,81.550003,69.799286,5865523
11-05-2017,82,83.050003,81.599998,82.599998,70.697975,2866991
12-05-2017,82.599998,82.849998,82,82.300003,70.4412,1575436
15-05-2017,82.550003,83.800003,82.150002,83.550003,71.511093,2007841
16-05-2017,83.900002,85.949997,83.400002,83.849998,71.76786,5141578
17-05-2017,84,86,83.599998,85.349998,73.05172,5499293
18-05-2017,84.75,85.599998,83.5,83.75,71.682289,2296399
19-05-2017,84.400002,85.449997,83.050003,84.150002,72.024635,6222693
22-05-2017,84.25,84.5,80.550003,82.050003,70.227234,5011530
23-05-2017,82.050003,82.25,80,80.5,68.900574,5940971
24-05-2017,80.650002,81.75,80.050003,80.25,68.6866,4879178
25-05-2017,80.349998,81.25,79.849998,80.400002,68.81498,8911228
26-05-2017,80.400002,81.25,79.550003,81.050003,69.37133,2377593
29-05-2017,81.400002,81.400002,79.800003,81.150002,69.456917,1724129
30-05-2017,81.199997,82.800003,80.849998,82.400002,70.52681,1879356
31-05-2017,82.599998,82.599998,80.599998,81,69.328537,5984254
01-06-2017,81.300003,81.349998,80.050003,80.699997,69.071762,2767159
02-06-2017,81,81.699997,80.849998,81.050003,69.37133,1447974
05-06-2017,81.449997,81.550003,80.550003,81,69.328537,2458920
06-06-2017,81,81.050003,79.25,79.599998,68.130249,3011010
07-06-2017,79.5,80.199997,79.199997,80,68.472618,2020824
08-06-2017,79.699997,79.949997,78.550003,79.050003,67.659508,2330855
